id	output
{"chainId":324,"tokenAddress":"0xE405f7E7d25B1430a5C06CBD08c2782effD12792"}	{"name": "HIVE Token", "symbol": "HIVE", "decimals": 18}
{"chainId":324,"tokenAddress":"0x931679fa010569975fDb108edC91352BA6Cd47B7"}	{"name": "Governance Tether USD", "symbol": "gUSDT", "decimals": 6}
{"chainId":324,"tokenAddress":"0x10A2e3d8b03ffBA34d805796361844fdb675e1Ea"}	{"name": "Governance Tether USD", "symbol": "gUSDT", "decimals": 6}
{"chainId":324,"tokenAddress":"0x105b4D75406Dfcb576ee4a03C6Ea69CdfFFD0e84"}	{"name": "DeFI Coop", "symbol": "DC", "decimals": 18}
{"chainId":324,"tokenAddress":"0xD68e01Ce7ae75E6B31C221BD3CdE43CBBEb320dD"}	{"name": "Governance Increment", "symbol": "gINCR", "decimals": 18}
{"chainId":324,"tokenAddress":"0x58223A5B9F937c54A3c2a964A0b53e17aCD48fB6"}	{"name": "baby", "symbol": "BB", "decimals": 18}
{"chainId":324,"tokenAddress":"0x26206cC0C946aE926D3982E6ea5418EA294d55b7"}	{"name": "g", "symbol": "g", "decimals": 18}
{"chainId":324,"tokenAddress":"0x16b691D2e27fe9fF925BAf88f53f4feFA1a72120"}	{"name": "Decentral Vote", "symbol": "DV", "decimals": 18}
{"chainId":324,"tokenAddress":"0x225346E7C31e596fa149308c78A6ED3A26c0b44f"}	{"name": "HIVE Token", "symbol": "HT", "decimals": 18}
{"chainId":324,"tokenAddress":"0x0A835fdA5651da4062aa7440Da43FC65222A7E06"}	{"name": "CLM Token", "symbol": "CLMT", "decimals": 18}
{"chainId":324,"tokenAddress":"0x79131aE201dC472ea7Ac2e97Fb63E3bEddF2e656"}	{"name": "CLM Token", "symbol": "CLM", "decimals": 18}
{"chainId":324,"tokenAddress":"0x08CAAa7a2229cb0D2e4F5fBA806297dDfd3287bD"}	{"name": "zkfest", "symbol": "zf", "decimals": 18}
{"chainId":324,"tokenAddress":"0x5A4e77C150AF143d66242a5bEff00D2d67e68120"}	{"name": "sinETHcato", "symbol": "sinETH", "decimals": 18}
{"chainId":324,"tokenAddress":"0x948BB69c49367d72c07b005FFC5AB7073A693805"}	{"name": "BREW Token", "symbol": "BREW", "decimals": 18}
{"chainId":324,"tokenAddress":"0x6BfcDFcCE4684a0954BD258f7999c6b7D13E5947"}	{"name": "Sumbu Botol", "symbol": "SMBTL", "decimals": 18}
{"chainId":324,"tokenAddress":"0xCdDD359E2310101CC773BBa4de4cB8464bB6C578"}	{"name": "REEL Token", "symbol": "REEL", "decimals": 18}
{"chainId":324,"tokenAddress":"0x759EB4a038003B542058C736b1c7c10e25D90CAd"}	{"name": "TRAVEL Token", "symbol": "TRAVEL", "decimals": 18}
{"chainId":324,"tokenAddress":"0x259D8E0A92a4b77c5a0Df5f2356510708B517dd1"}	{"name": "PrivCoin", "symbol": "PC", "decimals": 18}
{"chainId":324,"tokenAddress":"0x55F12f897Fca29469c3a54Ac9b3De4D8337C9540"}	{"name": "PDCoin", "symbol": "PDC", "decimals": 18}
{"chainId":324,"tokenAddress":"0xcb9C8271e1950f2450a1Ed0c5D6d03FD9C18C3AA"}	{"name": "Nordelta Valley", "symbol": "NORVA", "decimals": 18}
{"chainId":324,"tokenAddress":"0x739a4B2Fc76A9a2Fec629Be1d6c068152948Dab5"}	{"name": "SPP", "symbol": "SPP", "decimals": 18}
{"chainId":324,"tokenAddress":"0x96E0156c6ffD20B851831aFA95bB523644dE36Bc"}	{"name": "PIZZ", "symbol": "PIZZ", "decimals": 18}
{"chainId":324,"tokenAddress":"0x160E68C93369407A0d586cD7cB8152C8592636df"}	{"name": "ZKTOKEN", "symbol": "ZKT", "decimals": 18}
{"chainId":324,"tokenAddress":"0x844FceE32E84eb27fcD1151FcBcD5a8790Ef87fb"}	{"name": "TV", "symbol": "TV", "decimals": 18}
{"chainId":324,"tokenAddress":"0x3084932068cA5DBde72B1c9DC4560f4652375e1b"}	{"name": "ZKToken", "symbol": "ZKT", "decimals": 18}
{"chainId":324,"tokenAddress":"0xB799C657585370B1de9fe1812fE58e0c34B571f5"}	{"name": "ZKToken", "symbol": "ZKT", "decimals": 18}
{"chainId":324,"tokenAddress":"0x9097543d080a64C81aA8aDC1F78C07aE257Bf9C5"}	{"name": "ZKToken", "symbol": "ZKT", "decimals": 18}
{"chainId":324,"tokenAddress":"0xDBC919559cB7C0a6e506E0A21A63deeaaD0B22Bd"}	{"name": "Test zkSync Token", "symbol": "TZK", "decimals": 18}
{"chainId":324,"tokenAddress":"0x50d023A83A6539d18C51e998C7Ba47F1CF1F30ba"}	{"name": "TV", "symbol": "TV", "decimals": 18}
{"chainId":324,"tokenAddress":"0x19af4c87e4649d07B3c5d1a542fD34aCB319ddb0"}	{"name": "TV", "symbol": "TV", "decimals": 18}
{"chainId":324,"tokenAddress":"0x436AA3F6A0bc93DA6a863F0e61b25AD1cdfEa06E"}	{"name": "Testing zkSync", "symbol": "TZK", "decimals": 18}
{"chainId":324,"tokenAddress":"0x0632038e071361A4f51cF5154691dc801e6Bdfd9"}	{"name": "TV", "symbol": "TV", "decimals": 18}
{"chainId":324,"tokenAddress":"0x37ddD194fF35685f24cfdFB5460F588B03024A1d"}	{"name": "af", "symbol": "AF", "decimals": 18}
{"chainId":324,"tokenAddress":"0xF212EDD8eC3D00918467aa6374471eDb15B11Bc3"}	{"name": "TV", "symbol": "TV", "decimals": 18}
{"chainId":324,"tokenAddress":"0x9c6DCabc0FdE03CF646b49D21564E1dDA71465F1"}	{"name": "TV", "symbol": "TV", "decimals": 18}
{"chainId":324,"tokenAddress":"0xE7ba29CF7D33f6610A199142FbfD1045a66da3E3"}	{"name": "Token", "symbol": "TKN", "decimals": 18}
{"chainId":324,"tokenAddress":"0x8b0eC23d50bb47B83eF6368cBd4B505936EA9666"}	{"name": "Token", "symbol": "TKN", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xC207767d8A7a28019AFFAEAe6698F84B5526EbD7"}	{"name": "HIVE Token", "symbol": "HIVE", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xA4371a239D08bfBA6E8894eccf8466C6323A52C3"}	{"name": "Crypto Farm Tokens", "symbol": "CFT", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x00E0B50f1fb27b03DE3a6608Bb587C8aefd3d69c"}	{"name": "Tree Token", "symbol": "TREE", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x7Afc122B12E6A89b4D4488De34C09b56f86EF56E"}	{"name": "DAP Token", "symbol": "DAP", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x09661b5Ff451f867f84c09C4F93FF348F27034c2"}	{"name": "Arby Fans", "symbol": "ArbyF", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xc05708729E6d4E6c053C975afC9593FAb1c5166C"}	{"name": "NFT Collective", "symbol": "NFTC", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x2538AF04F6005563BE4980B06a2bECcd26DA3B67"}	{"name": "EthAdVentures", "symbol": "EAV", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x9c27C6A470D9F0eC6018C99EC7636416b5947E61"}	{"name": "Experiment on Arbitrum", "symbol": "EXA", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xBa1778A6Cf87F1d6B4476FBf4f764F6A2D6C0270"}	{"name": "Khazneh", "symbol": "KAZ", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xe980C7620fF9d5A53b9feb2f87b40057f6db8b78"}	{"name": "JP Digital", "symbol": "JPD1", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xf4600a3b6113BaaE42480272268D3D9A92AfFa92"}	{"name": "B and T", "symbol": "BNT", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xe416f17AE23c3Bf2eE83dBD1758F9C429be40c92"}	{"name": "meshi token", "symbol": "meshi", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x75e5Aa3f525B9B2B8cb43B4BB5C657157e8f7C0B"}	{"name": "WEBX", "symbol": "WBX", "decimals": 18}
{"chainId":42161,"tokenAddress":"0xD3150cA87Bb1EA44f4cA76C3049CEb9035aD3CEB"}	{"name": "HimaNii", "symbol": "HIMN", "decimals": 18}
{"chainId":42161,"tokenAddress":"0x0f79b328faeC77fD8887B728B86c52B4b3Cd0890"}	{"name": "NTRD", "symbol": "NTRD", "decimals": 18}
{"chainId":11155111,"tokenAddress":"0x5B08305497fb3a087Fc582D45fcb648c98177c43"}	{"name": "Sepolia Avalanche", "symbol": "SAVL", "decimals": 18}
{"chainId":11155111,"tokenAddress":"0x3949F15155D4b85d0159aB79cbf38DC51c41DD9F"}	{"name": "T5673", "symbol": "T5673", "decimals": 18}
{"chainId":11155111,"tokenAddress":"0x2b6BCA61c76b87a06565c858b65eBd80af93003f"}	{"name": "HIVE Token", "symbol": "HIVE", "decimals": 18}
